Subject,Label,Generated body
URGENT: Your bank account has been compromised!,Spam,[{'generated_text': 'URGENT: Your bank account has been compromised!\nYour account has been compromised by a hacker'}]
FREE Viagra for men!,Spam,"[{'generated_text': ""FREE Viagra for men!\nVirgina is the world's leading sex cure for all""}]"
You've won the lottery!,Spam,"[{'generated_text': ""You've won the lottery!\nYou've won the lottery!\nYou've won the lottery!""}]"
Your credit card has been declined.,Spam,[{'generated_text': 'Your credit card has been declined.\nYour account has been charged a <CUR><NUMBER'}]
Your computer is infected with a virus!,Spam,[{'generated_text': 'Your computer is infected with a virus!\nYour computer is infected with a virus.\nYour computer'}]
Lose weight fast and easy!,Spam,[{'generated_text': 'Lose weight fast and easy!\nThis easy and fast weight loss program will help you lose weight'}]
Make money online quickly and easily!,Spam,[{'generated_text': 'Make money online quickly and easily!\nSign up for the <COMPANY>Online QuickMoney'}]
Get rich quick!,Spam,"[{'generated_text': ""Get rich quick!\nYou've got a great idea, but you're not sure how to get""}]"
Invest in our new cryptocurrency and earn big returns!,Spam,[{'generated_text': 'Invest in our new cryptocurrency and earn big returns!\nJoin our exciting new program!\nWe are'}]
Click here to claim your free gift!,Spam,"[{'generated_text': 'Click here to claim your free gift!\n(If you have already claimed your free gift, please'}]"
Enter our giveaway to win a new iPhone!,Spam,"[{'generated_text': ""Enter our giveaway to win a new iPhone!\nWe're giving away a new iPhone!\nTo""}]"
You've been selected for a special offer!,Spam,"[{'generated_text': ""You've been selected for a special offer!\nIf you are interested in purchasing a <NUMBER""}]"
Don't miss out on our limited-time sale!,Spam,"[{'generated_text': ""Don't miss out on our limited-time sale!\nThis limited-time sale is only available""}]"
Act now and save 50% on all products!,Spam,[{'generated_text': 'Act now and save 50% on all products!\nSave up to <NUMBER>% on'}]
Order now and get free shipping!,Spam,[{'generated_text': 'Order now and get free shipping!\nOrder now and get free shipping!\nOrder now and get'}]
Subscribe to our newsletter and get 10% off your first purchase!,Spam,[{'generated_text': 'Subscribe to our newsletter and get 10% off your first purchase!\nEmail Address: *Please enter'}]
