Subject,Label
URGENT: Your bank account has been compromised!,Spam
FREE Viagra for men!,Spam
You've won the lottery!,Spam
Your credit card has been declined.,Spam
Your computer is infected with a virus!,Spam
Lose weight fast and easy!,Spam
Make money online quickly and easily!,Spam
Get rich quick!,Spam
Invest in our new cryptocurrency and earn big returns!,Spam
Click here to claim your free gift!,Spam
Enter our giveaway to win a new iPhone!,Spam
You've been selected for a special offer!,Spam
Don't miss out on our limited-time sale!,Spam
Act now and save 50% on all products!,Spam
Order now and get free shipping!,Spam
Subscribe to our newsletter and get 10% off your first purchase!,Spam
Click here to unsubscribe from our newsletter.,Ham
Meeting invitation: Sales team meeting,Ham
Project deadline reminder: Website redesign,Ham
New company policy: Vacation time,Ham
Employee survey: Your feedback is important,Ham
"Welcome to the team, [new employee name]!",Ham
"Happy birthday, [employee name]!",Ham
"Congratulations on your promotion, [employee name]!",Ham
[Company name] is proud to announce our new partnership with [partner name]!,Ham
We're hiring! Apply now for our open positions.,Ham
Check out our latest blog post: [blog post title],Ham
Follow us on social media for the latest news and updates!,Ham
Please donate to our charity fundraiser.,Ham
Thank you for being a loyal customer!,Ham
We hope you have a wonderful day!,Ham
