Subject,Label,Generatedbody,spam_or_ham
URGENT: Your bank account has been compromised!,Spam,URGENT: Your bank account has been compromised!\nView this message in your browser eBay Money Back Guarantee\nURL\nURL\nSAVE CURRENCYNUMBER.NUMBER\nGain Exclusive Access to the World's Most Trusting EB NUMBER Site\nURL\nURL URL MileagePlus - United\nURL\nURL Must-Do's in the U.S.\nURL SAVINGS NOW\nURL\nURL Rest assured we will not give your account to anyone outside our,ham
FREE Viagra for men!,Spam,"FREE Viagra for men!\nSent on the run\nOn Mar NUMBER, NUMBER, at NUMBER:NUMBER PM, ""Kanner, Fayanne"" <EMAIL wrote:\nHi Tom,\nI hope you are well. Quick question for you - do you have time to chat this week or just rest over the weekend?\nSave the Earth...it\'s the only planet with chocolate!\n____________________________________________________________________\nFAYANNE KANNER | Executive Assistant to",ham
You've won the lottery!,Spam,"You've won the lottery!\nSent from my iPhone\n> On Nov NUMBER, NUMBER, at NUMBER:NUMBER PM, PERSON, Jane wrote:\n>\n> Congrats\n> On your acceptance of the sweepstakes\n>\n> Sent from my COMPANY Xperia ZNUMBER\n>\n>> On Nov NUMBER, NUMBER, at NUMBER:NUMBER PM, DeLuca, Bob wrote:\n>>\n>> Thank you for being a team",ham
Your credit card has been declined.,Spam,"Your credit card has been declined.\nPlease update your account to include the name, expiration date and cardholder name.\nIf you do not have an update card, we recommend that you view this email as a web page.\nThere is no need to place a new order as we will automatically try your credit card again.\nThank you for your order.\nRegards,\nThe American Registry - Antique Edition\nOurreatUAL/Fond NUMBER:NUMBER PwC NUM",ham
Your computer is infected with a virus!,Spam,"Your computer is infected with a virus!\nSent from my iPhone\nOn Nov NUMBER, NUMBER, at NUMBER:NUMBER PM, ""PERSON, Jane"" <EMAIL wrote:\nBegin forwarded message:\nCc: ITPS <EMAIL\nDear Jane,\nAttached is a file that shows the spreadsheets for the month of November. This file is similar to the one you showed me at the breakout screen in Deliver Us From Evil screen last year",ham
Lose weight fast and easy!,Spam,"Lose weight fast and easy!\nSent from my iPhone\nOn Nov NUMBER, NUMBER, at NUMBER:NUMBER PM, ""PERSON, Jane"" <EMAIL wrote:\nBegin forwarded message:\nBreaking News | Deadline Hollywood\nDeadline Hollywood has posted urgent news:\nToronto: Chris Hemsworth Takes Homestead Tour\nFor all of Deadline\'s headlines, follow us @Deadline on Twitter.\nThis email was sent to EMAIL by",ham
Make money online quickly and easily!,Spam,Make money online quickly and easily!\nView this message in a browser Please add EMAIL to your address book to ensure properly delivery\nTechProduct Update\nNUMBER Essential Skills for Advertising & Marketing Automobiles\nThere are so many things you can do to make your adorCOMPANYnce successful. But how do you get there? It's easy. You just need to tap the skills you have and the one or two you'll need to become the best marketer you can.\n,ham
Get rich quick!,Spam,"Get rich quick!\nDear Jane,\nCongratulations on your promotion to Director of Development at Good Morning America. We very much look forward to working with you and your team in NUMBER.\nRegards,\nKelsey\nKelsey Aberg | EA to the Motion Picture Group\nPHONE | PHONE\nEMAIL\nGood Morning America is conducting a search for ad copy stars for its ""Daily Show With Jon Stewart."" The results will be reported in theLos Angeles Times",ham
Invest in our new cryptocurrency and earn big returns!,Spam,"Invest in our new cryptocurrency and earn big returns!\nThis email was sent to EMAIL by Deadline. To ensure delivery to your inbox (and not your spam folder), please add EMAIL to your address book. If you prefer not to continue receiving email communications, please unsubscribe here instead of replying to this email.\nTo update your profile and customize what email alerts and newsletters you receive, please click here.\nHaving trouble reading this email? View the web version here.",ham
Click here to claim your free gift!,Spam,"Click here to claim your free gift!\nEmail not displayed properly? View the online version\nThis email was sent to EMAIL by Daily Buzz, NUMBER Market Place, NUMBER Market Place, San Francisco, CA NUMBER\nUnsubscribe | Privacy Policy\nYou are receiving this email because you have opted into premium e-mail services from us.\nPO Box NUMBER Los Angeles, CA NUMBERBreaking News | Deadline Hollywood\nDeadline Hollywood has posted urgent news:",ham
