Subject,Label,Generated body
URGENT: Your bank account has been compromised!,Spam,"[{'generated_text': 'URGENT: Your bank account has been compromised!\nI was in San Francisco for my first annual screening of ""The Man Without A Gun!"" on Thursday, May <NUMBER>, on The Tonight Show with George Stephanopoulos (NBC), the'}]"
FREE Viagra for men!,Spam,"[{'generated_text': 'FREE Viagra for men!\nWhat are you doing today?\nLunch with friends.\nGet a drink. <CUR><NUMBER>.000C, go to The New York Times, or enjoy The New Yorker.\nThis email'}]"
You've won the lottery!,Spam,"[{'generated_text': ""You've won the lottery!\nBut784,000!\nIf you don't think you're deserving of the prize for a Pulitzer Prize, you know you can't afford to change or change the facts and make decisions that don't pay for the""}]"
Your credit card has been declined.,Spam,"[{'generated_text': 'Your credit card has been declined.\nYour credit card will now be refunded using Card #SAPA0-<PHONE> or Card code SAPA00-<PHONE>. If you have any questions, please call Customer Service'}]"
Your computer is infected with a virus!,Spam,"[{'generated_text': 'Your computer is infected with a virus! Please call the Security Team immediately. If you need assistance with restoring the PC, please do not hesitate to email us at <PHONE>.\nYour password has been changed!\nAll passwords are not encrypted!'}]"
Lose weight fast and easy!,Spam,"[{'generated_text': ""Lose weight fast and easy!\nWe'll keep you posted on our mailing lists.\nIf you need any further information or have any questions or need further information, please call me at <PHONE>.\n©️ <NUMBER> T""}]"
Make money online quickly and easily!,Spam,"[{'generated_text': 'Make money online quickly and easily!\nBest regards,\nAmy\nFrom: Michele M. Trenberth, Amy\nSent: Monday, December <NUMBER>, <NUMBER> <NUMBER>:<NUMBER> PM\nTo'}]"
Get rich quick!,Spam,"[{'generated_text': 'Get rich quick!\nIf I have a question about a business that you may have, I may be able to ask that. If that is the case, please let me know.\nBest\nRandy B.\n___________________________________________________________\n<'}]"
Invest in our new cryptocurrency and earn big returns!,Spam,"[{'generated_text': ""Invest in our new cryptocurrency and earn big returns!\nIt's a global opportunity to use your hard-working supporters to boost your chances at becoming a successful and wealthy citizen while protecting the integrity, integrity and integrity of the coin.\nWith no prior""}]"
Click here to claim your free gift!,Spam,[{'generated_text': 'Click here to claim your free gift!\nClick here for a copy of our Daily Edition.\nRegister now to receive the Daily Edition for Just Donut.\nThank you.\nThis e-mail and any files transmitted with it are intended solely'}]
Enter our giveaway to win a new iPhone!,Spam,[{'generated_text': 'Enter our giveaway to win a new iPhone!\n<URL>\nBest Buy Online Store\nBuy your iPhone in our Best Buy Online Store | <NUMBER> AM |\nShop your iPhone\nAppleStore\n<URL>\nApple Store |'}]
You've been selected for a special offer!,Spam,"[{'generated_text': ""You've been selected for a special offer! Click here to view the full offer\nEmail\n<URL>\n<NUMBER> Best of the Week\nFriday, May 00th <NUMBER> <NUMBER>:<NUMBER> PM""}]"
Don't miss out on our limited-time sale!,Spam,"[{'generated_text': ""Don't miss out on our limited-time sale!\n<URL>\n<URL>\n<URL>\n<URL>\nClick here to see the latest issue!\nIf you have any questions, would like to contact Mary Ann P""}]"
Act now and save 50% on all products!,Spam,"[{'generated_text': 'Act now and save 50% on all products!\n<URL>\nThis email was sent to <EMAIL> by <EMAIL>\nTo update your profile and customize what email alerts Evangelics mascots receive, deviantart, new'}]"
Order now and get free shipping!,Spam,[{'generated_text': 'Order now and get free shipping!\nView Profile\n<URL>\n<URL>\n<URL>\n<URL>\n<URL>\n<URL>\n<URL>\n<URL>\n<URL> <URL>\n'}]
Subscribe to our newsletter and get 10% off your first purchase!,Spam,"[{'generated_text': 'Subscribe to our newsletter and get 10% off your first purchase!\nIf you receive this communication in error, please do not forward to others.\n<URL>\nThe message below contains links. Do not reply to this message.\nClick on'}]"
Click here to unsubscribe from our newsletter.,Ham,"[{'generated_text': 'Click here to unsubscribe from our newsletter. If you have any questions or concerns, please contact the sender.\nThank you very much for your help to help us create a successful and successful marketing campaign.\nBest regards,\nEmma K.'}]"
Your bank account is overdrawn.,Spam,[{'generated_text': 'Your bank account is overdrawn.\nPlease let me know if your account cannot pay any additional <CUR><NUMBER> or more for <CUR><NUMBER> of your account from the bank account.\nYour bank account is not'}]
